INSERT INTO `Event` VALUES(0, 'Event testowy nr 0', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(32, 'Event testowy nr 32', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(33, 'Event testowy nr 33', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(34, 'Event testowy nr 34', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(35, 'Event testowy nr 35', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(36, 'Event testowy nr 36', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(37, 'Event testowy nr 37', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(38, 'Event testowy nr 38', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(39, 'Event testowy nr 39', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(40, 'Event testowy nr 40', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(41, 'Event testowy nr 41', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(42, 'Event testowy nr 42', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(43, 'Event testowy nr 43', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(44, 'Event testowy nr 44', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(45, 'Event testowy nr 45', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(46, 'Event testowy nr 46', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(47, 'Event testowy nr 47', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(48, 'Event testowy nr 48', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(49, 'Event testowy nr 49', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(50, 'Event testowy nr 50', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(51, 'Event testowy nr 51', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(52, 'Event testowy nr 52', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(53, 'Event testowy nr 53', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(54, 'Event testowy nr 54', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(55, 'Event testowy nr 55', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(56, 'Event testowy nr 56', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(57, 'Event testowy nr 57', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(58, 'Event testowy nr 58', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(59, 'Event testowy nr 59', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(60, 'Event testowy nr 60', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(61, 'Event testowy nr 61', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(62, 'Event testowy nr 62', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(63, 'Event testowy nr 63', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(64, 'Event testowy nr 64', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(65, 'Event testowy nr 65', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(66, 'Event testowy nr 66', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(67, 'Event testowy nr 67', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(68, 'Event testowy nr 68', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(69, 'Event testowy nr 69', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(70, 'Event testowy nr 70', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(71, 'Event testowy nr 71', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(72, 'Event testowy nr 72', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(73, 'Event testowy nr 73', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(74, 'Event testowy nr 74', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(75, 'Event testowy nr 75', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(76, 'Event testowy nr 76', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(77, 'Event testowy nr 77', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(78, 'Event testowy nr 78', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(79, 'Event testowy nr 79', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(80, 'Event testowy nr 80', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(81, 'Event testowy nr 81', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(82, 'Event testowy nr 82', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(83, 'Event testowy nr 83', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(84, 'Event testowy nr 84', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(85, 'Event testowy nr 85', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(86, 'Event testowy nr 86', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(87, 'Event testowy nr 87', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(88, 'Event testowy nr 88', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(89, 'Event testowy nr 89', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(90, 'Event testowy nr 90', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(91, 'Event testowy nr 91', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(92, 'Event testowy nr 92', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(93, 'Event testowy nr 93', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(94, 'Event testowy nr 94', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(95, 'Event testowy nr 95', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(96, 'Event testowy nr 96', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(97, 'Event testowy nr 97', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(98, 'Event testowy nr 98', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
INSERT INTO `Event` VALUES(99, 'Event testowy nr 99', '2015-05-16 15:27:43', '2015-05-17 16:27:43', 'asbdhjabsdjasbdhjabsdhjasbd', -1, 0.00, 'N', 80, 10, 16); 
